GpsCycle,GpsWeek,GpsToW[s],TimeStartup[ns],UnCompAccX[m/s^2],UnCompAccY[m/s^2],UnCompAccZ[m/s^2],UnCompGyroX[rad/s],UnCompGyroY[rad/s],UnCompGyroZ[rad/s]
1,18,518413,0,-5.91933336e-19,-0.0200002659,0.0339158652,7.29211515e-05,-1.57842418e-07,-0.02
1,18,518413.1,100000000,5.31748009e-10,-0.0200002659,0.0339155735,7.29210141e-05,-1.20002121e-08,-0.02
1,18,518413.2,200000000,1.06348751e-09,-0.0200002659,0.0339152818,7.2920585e-05,1.3384141e-07,-0.02
1,18,518413.3,300000000,1.59521001e-09,-0.0200002659,0.0339149901,7.29198643e-05,2.79681866e-07,-0.02
1,18,518413.4,400000000,2.12690697e-09,-0.0200002659,0.0339146985,7.29188519e-05,4.25520855e-07,-0.02
1,18,518413.5,500000000,2.65856991e-09,-0.0200002658,0.0339144068,7.29175478e-05,5.71357227e-07,-0.02
1,18,518413.6,600000000,3.19019031e-09,-0.0200002658,0.0339141151,7.2915952e-05,7.17190682e-07,-0.02
1,18,518413.7,700000000,3.72175967e-09,-0.0200002658,0.0339138235,7.29140646e-05,8.63020637e-07,-0.02
1,18,518413.8,799999999,4.25326947e-09,-0.0200002658,0.0339135318,7.29118855e-05,1.00884651e-06,-0.02
1,18,518413.9,899999999,4.78471123e-09,-0.0200002658,0.0339132402,7.29094148e-05,1.154668e-06,-0.02
1,18,518414,999999999,5.31607644e-09,-0.0200002658,0.0339129485,7.29066524e-05,1.30048395e-06,-0.02
1,18,518414.1,1099999999,5.84735658e-09,-0.0200002657,0.0339126569,7.29035984e-05,1.44629407e-06,-0.02
1,18,518414.2,1200000000,6.37854317e-09,-0.0200002657,0.0339123653,7.29002528e-05,1.59209778e-06,-0.02
1,18,518414.3,1300000000,6.9096277e-09,-0.0200002657,0.0339120737,7.28966155e-05,1.73789477e-06,-0.02
1,18,518414.4,1400000000,7.44060169e-09,-0.0200002657,0.0339117821,7.28926867e-05,1.88368389e-06,-0.02
1,18,518414.5,1500000000,7.9714566e-09,-0.0200002656,0.0339114906,7.28884663e-05,2.02946513e-06,-0.02
1,18,518414.6,1600000000,8.502184e-09,-0.0200002656,0.033911199,7.28839544e-05,2.17523734e-06,-0.02
1,18,518414.7,1700000000,9.03277534e-09,-0.0200002656,0.0339109075,7.28791509e-05,2.32100049e-06,-0.02
1,18,518414.8,1800000000,9.56322217e-09,-0.0200002655,0.033910616,7.28740559e-05,2.46675345e-06,-0.02
1,18,518414.9,1900000000,1.0093516e-08,-0.0200002655,0.0339103245,7.28686695e-05,2.6124962e-06,-0.02
1,18,518415,2000000000,1.06236483e-08,-0.0200002655,0.033910033,7.28629915e-05,2.75822758e-06,-0.02
1,18,518415.1,2100000000,1.11536106e-08,-0.0200002654,0.0339097416,7.28570221e-05,2.90394758e-06,-0.02
1,18,518415.2,2200000000,1.16833945e-08,-0.0200002654,0.0339094502,7.28507612e-05,3.04965504e-06,-0.02
1,18,518415.3,2300000000,1.22129915e-08,-0.0200002653,0.0339091588,7.2844209e-05,3.19534997e-06,-0.02
1,18,518415.4,2400000000,1.2742393e-08,-0.0200002653,0.0339088674,7.28373653e-05,3.34103147e-06,-0.02
1,18,518415.5,2500000000,1.32715907e-08,-0.0200002652,0.0339085761,7.28302303e-05,3.48669899e-06,-0.02
1,18,518415.6,2600000000,1.3800576e-08,-0.0200002652,0.0339082848,7.2822804e-05,3.63235192e-06,-0.02
1,18,518415.7,2700000000,1.43293405e-08,-0.0200002651,0.0339079935,7.28150864e-05,3.77798941e-06,-0.02
1,18,518415.8,2800000000,1.48578757e-08,-0.020000265,0.0339077023,7.28070776e-05,3.92361144e-06,-0.02
1,18,518415.9,2900000000,1.53861733e-08,-0.020000265,0.0339074111,7.27987775e-05,4.06921715e-06,-0.02
1,18,518416,3000000000,1.59142246e-08,-0.0200002649,0.0339071199,7.27901862e-05,4.21480595e-06,-0.02
1,18,518416.1,3100000000,1.64420213e-08,-0.0200002649,0.0339068287,7.27813037e-05,4.36037725e-06,-0.02
1,18,518416.2,3200000000,1.69695549e-08,-0.0200002648,0.0339065376,7.27721301e-05,4.50593049e-06,-0.02
1,18,518416.3,3300000000,1.74968171e-08,-0.0200002647,0.0339062466,7.27626655e-05,4.65146507e-06,-0.02
1,18,518416.4,3400000000,1.80237992e-08,-0.0200002646,0.0339059555,7.27529097e-05,4.79698041e-06,-0.02
1,18,518416.5,3500000000,1.8550493e-08,-0.0200002646,0.0339056646,7.2742863e-05,4.94247565e-06,-0.02
1,18,518416.6,3600000000,1.907689e-08,-0.0200002645,0.0339053736,7.27325253e-05,5.08795105e-06,-0.02
1,18,518416.7,3700000000,1.96029818e-08,-0.0200002644,0.0339050827,7.27218966e-05,5.23340519e-06,-0.02
1,18,518416.8,3800000000,2.01287599e-08,-0.0200002643,0.0339047918,7.2710977e-05,5.37883776e-06,-0.02
1,18,518416.9,3900000000,2.06542159e-08,-0.0200002643,0.033904501,7.26997667e-05,5.52424819e-06,-0.02
1,18,518417,4000000000,2.11793415e-08,-0.0200002642,0.0339042102,7.26882655e-05,5.66963588e-06,-0.02
1,18,518417.1,4100000000,2.17041282e-08,-0.0200002641,0.0339039195,7.26764735e-05,5.81500055e-06,-0.02
1,18,518417.2,4200000000,2.22285677e-08,-0.020000264,0.0339036288,7.26643908e-05,5.96034105e-06,-0.02
1,18,518417.3,4300000000,2.27526515e-08,-0.0200002639,0.0339033382,7.26520175e-05,6.10565707e-06,-0.02
1,18,518417.4,4400000000,2.32763712e-08,-0.0200002638,0.0339030476,7.26393536e-05,6.25094804e-06,-0.02
1,18,518417.5,4500000000,2.37997185e-08,-0.0200002637,0.0339027571,7.26263991e-05,6.39621366e-06,-0.02
1,18,518417.6,4600000000,2.43226851e-08,-0.0200002636,0.0339024666,7.26131541e-05,6.54145278e-06,-0.02
1,18,518417.7,4699999999,2.48452624e-08,-0.0200002635,0.0339021762,7.25996186e-05,6.6866651e-06,-0.02
1,18,518417.8,4799999999,2.53674423e-08,-0.0200002634,0.0339018858,7.25857927e-05,6.83185005e-06,-0.02
